NM_BARR,ID_BARR,number,rc_usd,night,fatalities,collapsed,losses,col_dry,col_wet,loss_dry,loss_wet,str_lr,col_lr,occ_lr,dryl_total,str_lr_dry,dryc_total,col_lr_dry,wetl_total,str_lr_wet,wetc_total,col_lr_wet
PAPALOMA,56.0,14.0,6941516,279.3,0.0,0.0,0,2.7693e-05,0.0,3.50836,2362.0,0.0,0.0,0.0,4.0,5.0541693591e-05,2.7693e-05,0.000197807142857,2362.0,0.034022104535803,0.0,0.133153571428571
LA  PAZ,57.0,322.0,64576639,2055.1,0.0,0.0,0,49.817453032,79.0,1335632.1200576,2681134.0,0.0,0.0,0.0,1335632.0,2.068289918064502,49.817453032,15.471258705590063,2681134.0,4.151864001107326,79.0,24.60415023004037
ONTANEDA ALTA,58.0,119.0,10411283,336.7,0.0,0.0,0,52.8979272,62.0,354981.577,656288.0,0.0,0.0,0.0,354982.0,3.40958534817246,52.8979272,44.45203966386554,656288.0,6.303621345513699,62.0,52.43788104332773
QUILLALLACTA,59.0,92.0,28858197,514.5,0.0,0.0,0,11.338375599999999,15.0,562162.6506,1075848.0,0.0,0.0,0.0,562163.0,1.948017210389934,11.338375599999999,12.324321304347825,1075848.0,3.728050442862026,15.0,15.975641035054347
SAN MARTÍN DE PORRES,60.0,588.0,59695313,3056.0,0.0,0.0,0,124.3178966,146.0,693105.375,1038505.0,0.0,0.0,0.0,693105.0,1.161071677015915,124.3178966,21.142499421768708,1038505.0,1.739675667623199,146.0,24.84656481002211
BIENESTAR SOCIAL,61.0,133.0,21641460,1258.0,0.0,0.0,0,14.4845216,18.0,411762.729,542465.0,0.0,0.0,0.0,411763.0,1.902656925898193,14.4845216,10.890617744360902,542465.0,2.506600035809404,18.0,13.316441062699248
SAN JUAN DE CONOCOTO,62.0,270.0,44935851,2038.1,0.0,0.0,0,60.8740418,83.0,782415.233,1703336.0,0.0,0.0,0.0,782415.0,1.741182619648148,60.8740418,22.54594140740741,1703336.0,3.79059378762602,83.0,30.60882071669259
PUEBLO UNIDO,63.0,946.0,99808669,5448.0,0.0,0.0,0,112.2661688,138.0,603465.529,1211316.0,0.0,0.0,0.0,603466.0,0.604622356522005,112.2661688,11.867459704016914,1211316.0,1.213638145684603,138.0,14.554720541617336
SAN ANTONIO,64.0,210.0,56691002,1495.7,0.0,0.0,0,50.7563532,81.0,1284416.8477,3561109.0,0.0,0.0,0.0,1284417.0,2.265644987987371,50.7563532,24.169692,3561109.0,6.281612772069336,81.0,38.669888515771426
SAN JOSÉ DE CONOCOTO BAJO,65.0,640.0,137907109,3033.2,0.0,0.0,0,102.443749,232.0,2740314.7874,12132326.0,0.0,0.0,0.0,2740315.0,1.987072898603028,102.443749,16.00683578125,12132326.0,8.797462690161112,232.0,36.258797874782815
CUNUNYACU,66.0,102.0,34181351,1346.8,0.0,0.0,0,0.000193851,0.0,3.7775104,2578.0,0.0,0.0,0.0,4.0,1.1051378146e-05,0.000193851,0.00019005,2578.0,0.007541140164222,0.0,0.128815915686275
INGA ALTO,67.0,5.0,457566,8.399999999999999,0.0,0.0,0,8.3079e-05,0.0,1.0591121,713.0,0.0,0.0,0.0,1.0,0.000231466459973,8.3079e-05,0.00166158,713.0,0.155811426772594,0.0,1.11849
SANTA INÉS,68.0,522.0,166285943,2718.8,0.0,0.0,0,0.001135413,1.0,47.5229223,32523.0,0.0,0.0,0.0,48.0,2.8579037693e-05,0.001135413,0.000217512068966,32523.0,0.019558205704347,1.0,0.147828670689655
SAN GABRIEL,69.0,749.0,214264467,3828.9,0.0,0.0,0,0.002935458,2.0,69.0139997,47186.0,0.0,0.0,0.0,69.0,3.2209726866e-05,0.002935458,0.000391916955941,47186.0,0.022022200546705,2.0,0.265062338851802
USHIMANA,70.0,149.0,25114717,891.8,0.0,0.0,0,0.000775404,1.0,7.3372756,5011.0,0.0,0.0,0.0,7.0,2.9215043854e-05,0.000775404,0.000520405369128,5011.0,0.0199527465112,1.0,0.352226504026846
EL VERGEL,71.0,90.0,10348932,292.3,0.0,0.0,0,0.000996948,1.0,10.015016899999999,6757.0,0.0,0.0,0.0,10.0,9.6773437572e-05,0.000996948,0.00110772,6757.0,0.065291644926043,1.0,0.746327951111111
TAMBO DEL INCA,72.0,241.0,18275350,1105.0,0.0,0.0,0,57.8379488,67.0,242894.857,355635.0,0.0,0.0,0.0,242895.0,1.329084566563473,57.8379488,23.99914887966805,355635.0,1.945979684843848,67.0,27.79478419298755
LAS PALMERAS,73.0,98.0,14882763,608.3,0.0,0.0,0,0.000996948,1.0,15.0780171,10164.0,0.0,0.0,0.0,15.0,0.000101311948467,0.000996948,0.001017293877551,10164.0,0.068297125840395,1.0,0.685403220408163
SAN FRANCISCO DE TANDA,74.0,506.0,157678112,5040.5,0.0,0.0,0,0.001772352,1.0,22.4369429,15360.0,0.0,0.0,0.0,22.0,1.422958626e-05,0.001772352,0.000350267193676,15360.0,0.009741198570018,1.0,0.236494651383399
ZONA DE PROTECCIÓN QUITUMBE,75.0,1.0,110551,4.199999999999998,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001379019638,0.0,0.000197003
COCHAUCO,76.0,39.0,3976164,169.4,0.0,0.0,0,2.7693e-05,0.0,0.813941,548.0,0.0,0.0,0.0,1.0,2.0470510512e-05,2.7693e-05,7.1007692308e-05,548.0,0.013779714489921,0.0,0.047798717948718
COMUNA SORIALOMA,77.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JERUSALÉN,78.0,8.0,1717642,82.89999999999999,0.0,0.0,0,8.3079e-05,0.0,3.814124,2567.0,0.0,0.0,0.0,4.0,0.000222055787357,8.3079e-05,0.0010384875,2567.0,0.149476528942372,0.0,0.69905625
VALLE DEL SUR,79.0,351.0,37075623,2322.0,0.0,0.0,0,30.8853092,42.0,152812.7376,461313.0,0.0,0.0,0.0,152813.0,0.412164984709514,30.8853092,8.79923339031339,461313.0,1.244249217387536,42.0,11.882476649279203
EL TABLÓN,80.0,1.0,95396,3.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLAS,81.0,57.0,12679870,185.0,0.0,0.0,0,0.000166158,0.0,0.8727337,650.0,0.0,0.0,0.0,1.0,6.882828615e-06,0.000166158,0.000291505263158,650.0,0.005122934425755,0.0,0.198335635087719
SAN SEBASTIÁN DE PACHIJAL,82.0,3.0,349248,15.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOS PUENTES,83.0,1.0,40048,1.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARTAGENA,84.0,4.0,786819,34.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PALUPE,85.0,1.0,24752,1.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRISAS DE ALAMBI,86.0,2.0,1112614,50.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIRAFLORES,87.0,11.0,1290262,49.699999999999996,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA PERLA,88.0,8.0,536289,23.1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUCARÁ,89.0,6.0,185563,7.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA LAGUA,90.0,6.0,293542,12.599999999999998,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAS PALMAS,91.0,2.0,164210,7.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TANDAYAPA,92.0,3.0,364829,15.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA ARMENIA,93.0,14.0,2435995,94.49999999999999,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NANEGALITO CENTRO,94.0,32.0,5295939,1102.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN FRANCISCO DE ALASPUNGO,95.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUAMACUCHO,96.0,2.0,221626,10.499999999999998,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN FRANCISCO,97.0,1.0,50698,2.1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMAAP,98.0,16.0,13038190,352.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARCELÉN BAJO,99.0,116.0,25449295,835.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAREDES,100.0,481.0,128752702,7071.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARRIO CENTRAL,101.0,407.0,74172593,2775.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JESÚS DEL GRAN PODER,102.0,145.0,13180944,522.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,103.0,83.0,7736472,302.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASPIGASI DEL CARMEN,104.0,45.0,9102268,364.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN MIGUEL DE ZAMBIZA,105.0,86.0,9778519,552.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZONA DE PROTECCIÓN SAN ANTONIO,106.0,1.0,1343128,59.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOSÉ TERÁN,107.0,327.0,74305923,3016.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YANAYACO,108.0,2.0,1418155,37.1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA ANA,109.0,122.0,10522831,420.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA TOLA,110.0,844.0,128821576,5875.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLAS,111.0,689.0,229868378,6936.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARÍA MAGDALENA,112.0,13.0,1398833,138.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL CENTRO,113.0,124.0,11211495,388.1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUMICUCHO,114.0,4.0,1794469,79.79999999999998,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAYOCUCHO,115.0,17.0,4077366,121.79999999999998,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TILINGÓN,116.0,17.0,5010653,526.1999999999999,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN JOSÉ ALTO,117.0,484.0,115568541,4190.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN JUAN LOMA ALTO 1,118.0,87.0,8660773,351.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JESÚS DEL GRAN PODER,119.0,8.0,475432,20.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL CALVARIO,120.0,188.0,47664560,2066.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
