lon,lat,vs30,z1pt0,z2pt5,vs30measured,ampcode
-76.5392,3.4421,800.0,31.0701,0.5722,1,2
-76.5392,3.4488,800.0,31.0701,0.5722,1,2
-76.5392,3.4556,800.0,31.0701,0.5722,1,1
-76.5392,3.4623,800.0,31.0701,0.5722,1,1
-76.5392,3.4691,800.0,31.0701,0.5722,1,1
-76.5392,3.4758,800.0,31.0701,0.5722,1,1
-76.5392,3.4825,800.0,31.0701,0.5722,1,1
-76.5392,3.4893,800.0,31.0701,0.5722,1,1
-76.5392,3.496,800.0,31.0701,0.5722,1,1
-76.5392,3.5028,800.0,31.0701,0.5722,1,1
-76.5392,3.5095,904.0315,15.0382,0.4976,1,noaf
-76.5392,3.5163,664.4659,81.2843,0.7076,1,noaf
-76.5392,3.523,769.9218,38.4846,0.5979,1,noaf
-76.5324,3.3072,251.5378,489.6801,2.1499,1,noaf
-76.5324,3.3139,277.5837,474.7013,1.9208,1,noaf
-76.5324,3.3207,800.0,31.0701,0.5722,1,4e
-76.5324,3.3274,800.0,31.0701,0.5722,1,4e
-76.5324,3.3342,800.0,31.0701,0.5722,1,4e
-76.5324,3.3409,800.0,31.0701,0.5722,1,4e
-76.5324,3.3476,800.0,31.0701,0.5722,1,4e
-76.5324,3.3544,800.0,31.0701,0.5722,1,4e
-76.5324,3.3611,800.0,31.0701,0.5722,1,2
-76.5324,3.3679,800.0,31.0701,0.5722,1,4d
-76.5324,3.3746,800.0,31.0701,0.5722,1,4d
-76.5324,3.3814,800.0,31.0701,0.5722,1,4d
-76.5324,3.3881,800.0,31.0701,0.5722,1,4d
-76.5324,3.3949,800.0,31.0701,0.5722,1,4d
-76.5324,3.4016,800.0,31.0701,0.5722,1,4d
-76.5324,3.4084,800.0,31.0701,0.5722,1,4c
-76.5324,3.4151,800.0,31.0701,0.5722,1,4c
-76.5324,3.4219,800.0,31.0701,0.5722,1,4c
-76.5324,3.4286,800.0,31.0701,0.5722,1,4a
-76.5324,3.4353,800.0,31.0701,0.5722,1,4a
-76.5324,3.4421,800.0,31.0701,0.5722,1,4a
-76.5324,3.4488,800.0,31.0701,0.5722,1,2
-76.5324,3.4556,312.3,448.8262,1.6785,1,noaf
-76.5324,3.4623,800.0,31.0701,0.5722,1,4a
-76.5324,3.4691,670.9474,77.6905,0.6998,1,noaf
-76.5324,3.4758,800.0,31.0701,0.5722,1,1
-76.5324,3.4825,800.0,31.0701,0.5722,1,1
-76.5324,3.4893,800.0,31.0701,0.5722,1,1
-76.5324,3.496,800.0,31.0701,0.5722,1,1
-76.5324,3.5028,800.0,31.0701,0.5722,1,1
-76.5324,3.5095,912.9624,14.1511,0.492,1,noaf
-76.5324,3.5163,656.8905,85.6761,0.717,1,noaf
-76.5324,3.523,631.4865,101.9898,0.7501,1,noaf
-76.5257,3.3072,226.5043,500.7518,2.4239,1,noaf
-76.5257,3.3139,273.0055,477.6037,1.9576,1,noaf
-76.5257,3.3207,800.0,31.0701,0.5722,1,4e
-76.5257,3.3274,800.0,31.0701,0.5722,1,4e
-76.5257,3.3342,800.0,31.0701,0.5722,1,4e
-76.5257,3.3409,800.0,31.0701,0.5722,1,4e
-76.5257,3.3476,800.0,31.0701,0.5722,1,4e
-76.5257,3.3544,800.0,31.0701,0.5722,1,4e
-76.5257,3.3611,800.0,31.0701,0.5722,1,4d
-76.5257,3.3679,800.0,31.0701,0.5722,1,4d
-76.5257,3.3746,800.0,31.0701,0.5722,1,4d
-76.5257,3.3814,800.0,31.0701,0.5722,1,4d
-76.5257,3.3881,800.0,31.0701,0.5722,1,4d
-76.5257,3.3949,800.0,31.0701,0.5722,1,4d
-76.5257,3.4016,800.0,31.0701,0.5722,1,4d
-76.5257,3.4084,800.0,31.0701,0.5722,1,5
-76.5257,3.4151,800.0,31.0701,0.5722,1,5
-76.5257,3.4219,800.0,31.0701,0.5722,1,5
-76.5257,3.4286,800.0,31.0701,0.5722,1,4b
-76.5257,3.4353,800.0,31.0701,0.5722,1,4a
-76.5257,3.4421,800.0,31.0701,0.5722,1,4a
-76.5257,3.4488,800.0,31.0701,0.5722,1,4a
-76.5257,3.4556,800.0,31.0701,0.5722,1,4a
-76.5257,3.4623,800.0,31.0701,0.5722,1,4a
-76.5257,3.4691,800.0,31.0701,0.5722,1,4a
-76.5257,3.4758,800.0,31.0701,0.5722,1,3
-76.5257,3.4825,800.0,31.0701,0.5722,1,3
-76.5257,3.4893,800.0,31.0701,0.5722,1,1
-76.5257,3.496,800.0,31.0701,0.5722,1,3
-76.5257,3.5028,800.0,31.0701,0.5722,1,1
-76.5257,3.5095,765.3158,39.7696,0.602,1,noaf
-76.5257,3.5163,761.1032,40.9828,0.6058,1,noaf
-76.5257,3.523,671.3329,77.4814,0.6994,1,noaf
-76.5189,3.3072,224.4199,501.538,2.4496,1,noaf
-76.5189,3.3139,274.9326,476.3963,1.942,1,noaf
-76.5189,3.3207,800.0,31.0701,0.5722,1,4e
-76.5189,3.3274,800.0,31.0701,0.5722,1,4e
-76.5189,3.3342,800.0,31.0701,0.5722,1,4e
