lon,lat,vs30,z1pt0,z2pt5,vs30measured
-76.5189,3.5095,500.66,228.09,0.98,1
-76.5189,3.5163,525.16,199.36,0.93,1
-76.5189,3.523,491.69,239.05,1,1
-76.5122,3.3072,305.67,454.3,1.72,1
-76.5122,3.3139,318.76,443.26,1.64,1
-76.5122,3.3207,318.76,443.26,1.64,1
-76.5122,3.3274,330.48,432.56,1.57,1
-76.5122,3.3342,344.01,419.31,1.5,1
-76.5122,3.3409,340.27,423.07,1.52,1
-76.5122,3.3476,328.64,434.3,1.58,1
-76.5122,3.3544,297.82,460.45,1.77,1
-76.5122,3.3611,297.82,460.45,1.77,1
-76.5122,3.3679,258.33,486.13,2.09,1
-76.5122,3.3746,243.07,493.77,2.24,1
-76.5122,3.3814,247.58,491.64,2.19,1
-76.5122,3.3881,241.72,494.39,2.25,1
-76.5122,3.3949,241.72,494.39,2.25,1
-76.5122,3.4016,226.43,500.78,2.42,1
-76.5122,3.4084,216.02,504.51,2.56,1
-76.5122,3.4151,222.03,502.42,2.48,1
-76.5122,3.4219,241.12,494.66,2.26,1
-76.5122,3.4286,241.12,494.66,2.26,1
-76.5122,3.4353,266.81,481.34,2.01,1
-76.5122,3.4421,273.26,477.45,1.96,1
-76.5122,3.4488,279.47,473.47,1.91,1
-76.5122,3.4556,282.46,471.48,1.88,1
-76.5122,3.4623,282.46,471.48,1.88,1
-76.5122,3.4691,272.93,477.65,1.96,1
-76.5122,3.4758,266.82,481.34,2.01,1
-76.5122,3.4825,257.62,486.51,2.09,1
-76.5122,3.4893,250.38,490.26,2.16,1
-76.5122,3.496,265.46,482.13,2.02,1
-76.5122,3.5028,265.46,482.13,2.02,1
-76.5122,3.5095,295.64,462.1,1.79,1
-76.5122,3.5163,315.49,446.1,1.66,1
-76.5122,3.523,372.29,388.74,1.37,1
-76.5054,3.3072,305.67,454.3,1.72,1
-76.5054,3.3139,318.76,443.26,1.64,1
-76.5054,3.3207,318.76,443.26,1.64,1
-76.5054,3.3274,330.48,432.56,1.57,1
-76.5054,3.3342,344.01,419.31,1.5,1
-76.5054,3.3409,340.27,423.07,1.52,1
-76.5054,3.3476,328.64,434.3,1.58,1
-76.5054,3.3544,297.82,460.45,1.77,1
-76.5054,3.3611,297.82,460.45,1.77,1
-76.5054,3.3679,258.33,486.13,2.09,1
-76.5054,3.3746,243.07,493.77,2.24,1
-76.5054,3.3814,247.58,491.64,2.19,1
-76.5054,3.3881,241.72,494.39,2.25,1
-76.5054,3.3949,241.72,494.39,2.25,1
-76.5054,3.4016,226.43,500.78,2.42,1
-76.5054,3.4084,216.02,504.51,2.56,1
-76.5054,3.4151,222.03,502.42,2.48,1
-76.5054,3.4219,241.12,494.66,2.26,1
-76.5054,3.4286,241.12,494.66,2.26,1
-76.5054,3.4353,266.81,481.34,2.01,1
-76.5054,3.4421,273.26,477.45,1.96,1
-76.5054,3.4488,279.47,473.47,1.91,1
-76.5054,3.4556,282.46,471.48,1.88,1
-76.5054,3.4623,282.46,471.48,1.88,1
-76.5054,3.4691,272.93,477.65,1.96,1
-76.5054,3.4758,266.82,481.34,2.01,1
-76.5054,3.4825,257.62,486.51,2.09,1
-76.5054,3.4893,250.38,490.26,2.16,1
-76.5054,3.496,265.46,482.13,2.02,1
-76.5054,3.5028,265.46,482.13,2.02,1
-76.5054,3.5095,295.64,462.1,1.79,1
-76.5054,3.5163,315.49,446.1,1.66,1
-76.5054,3.523,372.29,388.74,1.37,1
-76.4987,3.3072,270.1,479.39,1.98,1
-76.4987,3.3139,293.14,463.96,1.8,1
-76.4987,3.3207,293.14,463.96,1.8,1
-76.4987,3.3274,298.84,459.67,1.77,1
-76.4987,3.3342,306.81,453.38,1.71,1
-76.4987,3.3409,310.06,450.7,1.69,1
-76.4986,3.3476,293.92,463.38,1.8,1
-76.4986,3.3544,262.15,484.02,2.05,1
-76.4986,3.3611,262.15,484.02,2.05,1
-76.4986,3.3679,233.71,497.88,2.34,1
-76.4986,3.3746,228.61,499.94,2.4,1
-76.4986,3.3814,223.46,501.89,2.46,1
-76.4986,3.3881,211.72,505.91,2.62,1
-76.4986,3.3949,211.72,505.91,2.62,1
-76.4986,3.4016,210.55,506.28,2.64,1
-76.4986,3.4084,180,514.02,3.15,1
-76.4986,3.4151,180,514.02,3.15,1
-76.4986,3.4219,210.56,506.27,2.63,1
-76.4986,3.4286,210.56,506.27,2.63,1
-76.4986,3.4353,246.41,492.2,2.2,1
-76.4986,3.4421,265.48,482.12,2.02,1
-76.4986,3.4488,262.63,483.75,2.05,1
-76.4986,3.4556,266.79,481.36,2.01,1
-76.4986,3.4623,266.79,481.36,2.01,1
-76.4986,3.4691,270.45,479.17,1.98,1
-76.4986,3.4758,265.08,482.35,2.02,1
-76.4986,3.4825,259.31,485.59,2.08,1
-76.4986,3.4893,240.89,494.77,2.26,1
-76.4986,3.496,232.83,498.24,2.35,1
-76.4986,3.5028,232.83,498.24,2.35,1
-76.4986,3.5095,272.28,478.05,1.96,1
-76.4986,3.5163,293.44,463.73,1.8,1
-76.4986,3.523,275.69,475.91,1.94,1
-76.4919,3.3072,211.71,505.91,2.62,1
-76.4919,3.3139,245.96,492.42,2.21,1
-76.4919,3.3207,245.96,492.42,2.21,1
-76.4919,3.3274,260.53,484.92,2.07,1
-76.4919,3.3342,262.57,483.78,2.05,1
-76.4919,3.3409,265.51,482.1,2.02,1
-76.4919,3.3476,246.58,492.12,2.2,1
-76.4919,3.3544,209.5,506.6,2.65,1
-76.4919,3.3611,209.5,506.6,2.65,1
-76.4919,3.3679,202.46,508.67,2.76,1
-76.4919,3.3746,208.14,507.02,2.67,1
-76.4919,3.3814,197.75,509.94,2.83,1
-76.4919,3.3881,191.69,511.46,2.93,1
-76.4919,3.3949,191.69,511.46,2.93,1
-76.4919,3.4016,208.58,506.89,2.66,1
-76.4919,3.4084,205.16,507.9,2.71,1
-76.4919,3.4151,184.91,513,3.06,1
-76.4919,3.4219,211.66,505.93,2.62,1
-76.4919,3.4286,211.66,505.93,2.62,1
-76.4919,3.4353,214.66,504.96,2.58,1
-76.4919,3.4421,237.4,496.31,2.3,1
-76.4919,3.4488,245.19,492.78,2.21,1
-76.4919,3.4556,251.75,489.57,2.15,1
-76.4919,3.4623,251.75,489.57,2.15,1
-76.4919,3.4691,258.07,486.27,2.09,1
-76.4919,3.4758,250.58,490.16,2.16,1
-76.4919,3.4825,240.83,494.8,2.26,1
-76.4919,3.4893,227.5,500.37,2.41,1
-76.4919,3.496,216.18,504.45,2.56,1
-76.4919,3.5028,216.18,504.45,2.56,1
-76.4919,3.5095,229.35,499.65,2.39,1
-76.4919,3.5163,238.9,495.66,2.28,1
-76.4919,3.523,232.24,498.49,2.36,1
-76.4852,3.3072,202.54,508.65,2.75,1
-76.4852,3.3139,215.01,504.85,2.57,1
-76.4852,3.3207,215.01,504.85,2.57,1
-76.4851,3.3274,217.41,504.04,2.54,1
