#vs30_ref=800,,,,,,,,,,,,,,,
ampcode,level,PGA,SA(0.1),SA(0.2),SA(0.3),SA(0.6),SA(1.0),SA(2.0),sigma_PGA,sigma_SA(0.1),sigma_SA(0.2),sigma_SA(0.3),sigma_SA(0.6),sigma_SA(1.0),sigma_SA(2.0)
4a,0.1443,1.4038,1.338,1.6269,1.9714,1.7545,1.8261,1.9378,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,0.2267,1.3711,1.3088,1.6207,1.9484,1.8245,1.8482,1.9616,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,0.3562,1.3294,1.2714,1.6189,1.8926,1.9505,1.8504,2.0104,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,0.5598,1.3035,1.2115,1.6216,1.8236,2.1043,1.9244,2.069,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,0.8796,1.2588,1.1255,1.6378,1.7521,2.1968,2.1516,2.2299,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,1.3823,1.2175,1.0574,1.648,1.6991,2.2519,2.5805,2.2299,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,2.1721,1.1763,0.9997,1.5979,1.6517,2.3243,2.5805,2.2299,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,3.4133,1.1385,0.9563,1.5026,1.6051,2.3243,2.5805,2.2299,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4a,5.3636,1.1019,0.917,1.4139,1.5628,2.3243,2.5805,2.2299,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,0.001,1.1036,1.1521,1.6942,1.4504,1.6121,1.7049,1.9292,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,0.0016,1.1107,1.1449,1.6935,1.4488,1.6092,1.7033,1.9282,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,0.0025,1.1202,1.1378,1.6929,1.4474,1.6066,1.7016,1.9283,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,0.0039,1.1285,1.1314,1.6925,1.4464,1.6023,1.6963,1.9316,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,0.0061,1.1271,1.1253,1.6927,1.4452,1.5973,1.6896,1.9374,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,0.0096,1.1264,1.1166,1.6929,1.4431,1.5907,1.6856,1.9364,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,0.0151,1.1251,1.1072,1.6929,1.4405,1.578,1.6839,1.9397,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,0.0237,1.119,1.1,1.6922,1.4364,1.5636,1.6657,1.9395,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,0.0372,1.1122,1.09,1.6886,1.431,1.543,1.6541,1.9533,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,0.0584,1.1049,1.0742,1.6792,1.4252,1.5146,1.6339,1.9551,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,0.0918,1.0919,1.0596,1.6639,1.4204,1.4798,1.6087,1.9734,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,0.1443,1.0762,1.0332,1.6373,1.4213,1.4348,1.6043,1.9822,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,0.2267,1.0288,1.0108,1.5921,1.4347,1.3936,1.6054,1.9705,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,0.3562,0.9733,0.9819,1.5269,1.4414,1.3737,1.571,1.8758,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,0.5598,0.9322,0.9341,1.4276,1.4454,1.3537,1.4447,1.7339,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,0.8796,0.8677,0.8696,1.3244,1.4157,1.2757,1.2604,1.6095,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,1.3823,0.802,0.8127,1.2141,1.3271,1.1804,1.0972,1.494,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,2.1721,0.7402,0.7534,1.0825,1.2154,1.0884,0.9547,1.3868,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,3.4133,0.6834,0.7024,0.9543,1.1107,1.0012,0.8307,1.2873,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4b,5.3636,0.6309,0.6552,0.8427,1.0133,0.9209,0.7228,1.1949,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,0.001,1.149,1.1645,1.4665,1.9678,2.0089,1.6892,2.5158,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,0.0016,1.1501,1.1543,1.4572,1.9596,1.9994,1.6874,2.5017,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,0.0025,1.1547,1.1442,1.4487,1.952,1.9909,1.6854,2.4864,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,0.0039,1.1577,1.1353,1.4414,1.9461,1.978,1.6803,2.4743,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,0.0061,1.1477,1.1268,1.4363,1.9399,1.964,1.6735,2.4601,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,0.0096,1.1373,1.1149,1.4283,1.9311,1.946,1.6696,2.4087,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,0.0151,1.1254,1.101,1.4173,1.9207,1.9127,1.671,2.3529,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,0.0237,1.1022,1.0891,1.4026,1.9038,1.8743,1.6551,2.2658,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,0.0372,1.0787,1.0735,1.3782,1.8789,1.8207,1.6571,2.2126,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,0.0584,1.0476,1.0511,1.343,1.8477,1.7507,1.6582,2.1273,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,0.0918,1.0178,1.0308,1.2996,1.8109,1.6699,1.6417,2.0629,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,0.1443,0.9939,0.9981,1.2449,1.774,1.5742,1.6324,1.9463,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,0.2267,0.9276,0.9722,1.1837,1.7409,1.4863,1.6275,1.8197,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,0.3562,0.8607,0.9424,1.1151,1.6159,1.4301,1.6387,1.6715,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,0.5598,0.8079,0.8903,1.0157,1.4568,1.3754,1.4144,1.4782,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,0.8796,0.7269,0.8142,0.9174,1.3036,1.2684,1.0551,1.3139,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,1.3823,0.6461,0.7458,0.8364,1.1246,1.1417,0.7841,1.1679,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,2.1721,0.5729,0.6686,0.7419,0.9576,1.0246,0.582,1.0381,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,3.4133,0.5079,0.6005,0.6507,0.8123,0.9167,0.4319,0.9227,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4c,5.3636,0.4503,0.539,0.5714,0.6889,0.8202,0.3206,0.8202,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,0.001,1.1014,1.3312,1.3108,1.3173,1.641,1.7117,2.1013,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,0.0016,1.108,1.3274,1.306,1.315,1.6354,1.709,2.0947,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,0.0025,1.1173,1.3236,1.3016,1.3129,1.6304,1.706,2.0885,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,0.0039,1.1256,1.3205,1.2981,1.3117,1.6223,1.6978,2.0859,0.3,0.3,0.3,0.3,0.3,0.3,0.3
