#,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gite09ae1ae50', start_date='2022-05-12T22:40:05', checksum=4015224999"
event_id,slight,moderate,extensive,complete,collapsed,fatalities,homeless,injured,losses,loss_type
55,1.23247E+04,1.03218E+03,2.12875E+02,1.19167E+02,1.28805E+01,1.07977E+01,2.37017E+03,3.15585E+02,1.56435E+08,structural
56,1.07127E+04,9.93117E+02,2.30273E+02,1.56423E+02,1.72553E+01,1.21856E+01,2.41640E+03,3.45642E+02,2.13890E+08,structural
57,1.08583E+04,7.87001E+02,1.44772E+02,7.09096E+01,7.69885E+00,5.96318E+00,1.50351E+03,1.66881E+02,1.86299E+08,structural
58,1.28257E+04,1.15797E+03,2.40200E+02,1.31421E+02,1.41690E+01,1.01454E+01,2.29465E+03,2.90375E+02,1.97129E+08,structural
59,7.17120E+03,6.39462E+02,1.57309E+02,1.05135E+02,1.17939E+01,1.90745E+01,2.93926E+03,4.26226E+02,2.13762E+08,structural
60,8.56715E+03,5.77743E+02,1.05838E+02,5.17832E+01,5.71806E+00,5.65726E+00,1.26504E+03,1.52632E+02,1.48205E+08,structural
61,9.02179E+03,7.39722E+02,1.45797E+02,7.57273E+01,8.22575E+00,6.84068E+00,1.56319E+03,1.99645E+02,1.13878E+08,structural
62,5.31924E+03,3.89058E+02,7.77026E+01,4.14999E+01,4.58993E+00,9.27325E+00,1.63690E+03,2.14712E+02,1.27546E+08,structural
63,7.94940E+03,5.66329E+02,1.03116E+02,4.87691E+01,5.36267E+00,5.84303E+00,1.27253E+03,1.51920E+02,1.15575E+08,structural
64,8.61081E+03,9.15215E+02,2.29769E+02,1.59092E+02,1.71454E+01,1.49451E+01,3.02856E+03,4.39010E+02,1.33072E+08,structural
65,6.33471E+03,4.08724E+02,7.93526E+01,4.48320E+01,4.88282E+00,8.11778E+00,1.44042E+03,2.04332E+02,1.07412E+08,structural
66,1.24147E+04,1.38117E+03,3.22281E+02,1.97631E+02,2.10873E+01,1.48262E+01,3.38588E+03,4.62180E+02,2.25592E+08,structural
67,9.55683E+03,9.74024E+02,2.61534E+02,2.13445E+02,2.22022E+01,9.93709E+00,2.29324E+03,3.38227E+02,1.19960E+08,structural
68,1.11833E+04,9.52160E+02,1.98438E+02,1.14709E+02,1.23237E+01,9.84502E+00,2.19314E+03,2.90522E+02,1.38954E+08,structural
69,1.04449E+04,1.16286E+03,3.03252E+02,2.26731E+02,2.47158E+01,1.93157E+01,3.72693E+03,5.56308E+02,2.01696E+08,structural
70,1.04574E+04,9.06339E+02,1.89762E+02,1.06949E+02,1.14149E+01,1.18184E+01,2.53880E+03,3.24330E+02,1.53863E+08,structural
71,8.34586E+03,6.40322E+02,1.22834E+02,6.10986E+01,6.51845E+00,5.32654E+00,1.26131E+03,1.55607E+02,1.54513E+08,structural
72,1.00773E+04,7.25704E+02,1.35335E+02,6.52433E+01,7.01440E+00,7.17245E+00,1.63369E+03,1.92547E+02,1.55840E+08,structural
73,6.41073E+03,3.94996E+02,7.22908E+01,3.41749E+01,3.69312E+00,8.67872E+00,1.53634E+03,2.01446E+02,1.48500E+08,structural
74,1.14272E+04,1.23272E+03,2.82631E+02,1.71007E+02,1.83320E+01,1.47122E+01,3.36645E+03,4.57104E+02,1.77334E+08,structural
75,9.17171E+03,6.78805E+02,1.31030E+02,6.77286E+01,7.30262E+00,7.47665E+00,1.68855E+03,2.09351E+02,1.57710E+08,structural
76,1.07366E+04,1.13747E+03,2.69337E+02,1.73876E+02,1.90293E+01,1.44846E+01,3.04533E+03,4.10273E+02,2.37571E+08,structural
77,9.43099E+03,7.59879E+02,1.65417E+02,1.00510E+02,1.07586E+01,8.01800E+00,1.71418E+03,2.25609E+02,1.44533E+08,structural
78,1.11993E+04,1.03854E+03,2.18853E+02,1.20542E+02,1.28036E+01,1.02447E+01,2.37861E+03,2.98100E+02,1.53021E+08,structural
79,7.76720E+03,5.38671E+02,9.96498E+01,4.86686E+01,5.25976E+00,3.64443E+00,9.13441E+02,1.06704E+02,1.14677E+08,structural
80,9.50623E+03,1.01669E+03,2.35999E+02,1.47918E+02,1.59476E+01,1.16669E+01,2.52294E+03,3.38751E+02,1.77359E+08,structural
81,8.58837E+03,8.52121E+02,1.98422E+02,1.22463E+02,1.32756E+01,1.07640E+01,2.30081E+03,3.06991E+02,1.60060E+08,structural
