#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git0887e53562', start_date='2022-05-13T17:39:17', checksum=949654607, investigation_time=None, risk_investigation_time=None"
loss_type,nm_parroquia,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,LA  ARGELIA,6.56780E+03,5.91720E+02,2.93816E+01,5.69806E+00,3.40097E+00,3.81739E-01,5.30340E-05,3.85914E-01,6.66377E-06,7.24911E+01,1.25174E-03,9.05776E+00,1.56405E-04,6.54824E+06,6.54566E-03
structural,LA FERROVIARIA,6.03930E+03,5.67238E+02,2.66524E+01,4.98806E+00,2.82175E+00,3.19291E-01,4.80787E-05,3.69979E-01,5.66151E-06,7.45819E+01,1.14127E-03,9.47185E+00,1.44941E-04,6.85625E+06,6.36545E-03
structural,LA MENA,5.54905E+03,4.71779E+02,1.98682E+01,3.48438E+00,1.81759E+00,2.09766E-01,3.46950E-05,2.35459E-01,5.32559E-06,4.27760E+01,9.67505E-04,5.01082E+00,1.13334E-04,5.09532E+06,6.41226E-03
structural,PONCEANO,5.47356E+03,4.62315E+02,1.93594E+01,3.21618E+00,1.54755E+00,1.80818E-01,3.03386E-05,2.96269E-01,5.45228E-06,5.56251E+01,1.02368E-03,6.19931E+00,1.14087E-04,8.71276E+06,5.36599E-03
structural,EL CONDADO,1.25610E+04,7.86945E+02,3.43747E+01,6.26754E+00,3.43728E+00,3.81621E-01,2.84962E-05,2.73974E-01,3.30177E-06,5.83940E+01,7.03731E-04,7.09656E+00,8.55236E-05,8.53188E+06,5.42222E-03
structural,COCHAPAMBA,4.91895E+03,2.70470E+02,9.34881E+00,1.50701E+00,7.23522E-01,8.19811E-02,1.57626E-05,1.37270E-01,2.40677E-06,2.80344E+01,4.91531E-04,3.17513E+00,5.56699E-05,3.77607E+06,3.89702E-03
structural,BELISARIO QUEVEDO,4.89758E+03,4.44798E+02,2.03075E+01,3.54479E+00,1.77299E+00,2.06505E-01,3.84696E-05,2.00613E-01,4.50067E-06,3.82281E+01,8.57629E-04,4.45285E+00,9.98978E-05,8.07923E+06,6.00205E-03
structural,SAN JUAN,5.22473E+03,4.35670E+02,2.64261E+01,5.22936E+00,2.94428E+00,3.43702E-01,6.03516E-05,3.38400E-01,6.23492E-06,6.56595E+01,1.20976E-03,8.78914E+00,1.61938E-04,8.22451E+06,6.52080E-03
structural,RUMIPAMBA,3.19863E+03,2.91519E+02,1.40967E+01,2.50654E+00,1.24447E+00,1.46741E-01,4.18305E-05,3.16891E-01,1.11943E-05,4.54932E+01,1.60707E-03,5.73326E+00,2.02530E-04,8.87895E+06,5.85221E-03
structural,LA LIBERTAD,2.62072E+03,1.91651E+02,9.76205E+00,1.85035E+00,1.01971E+00,1.14708E-01,4.06047E-05,1.04857E-01,3.81329E-06,2.39928E+01,8.72537E-04,3.12642E+00,1.13698E-04,1.96194E+06,5.08626E-03
structural,ITCHIMBIA,3.56359E+03,4.27803E+02,2.54510E+01,5.12624E+00,3.02517E+00,3.48156E-01,8.64984E-05,4.28244E-01,1.26210E-05,7.23210E+01,2.13140E-03,9.71133E+00,2.86206E-04,7.66850E+06,7.71230E-03
structural,JIPI JAPA,3.33994E+03,3.92772E+02,1.91090E+01,3.42343E+00,1.75514E+00,2.07247E-01,5.51630E-05,4.87026E-01,1.48511E-05,7.09145E+01,2.16242E-03,9.07304E+00,2.76668E-04,9.29096E+06,7.62697E-03
structural,COTOCOLLAO,3.47131E+03,3.47346E+02,1.52588E+01,2.68394E+00,1.40326E+00,1.61414E-01,4.20568E-05,1.90364E-01,6.17196E-06,3.60053E+01,1.16736E-03,4.22920E+00,1.37118E-04,5.09544E+06,7.11747E-03
structural,SOLANDA,7.69510E+03,1.21813E+03,6.86797E+01,1.30058E+01,7.08060E+00,8.24396E-01,9.15792E-05,1.21140E+00,1.54812E-05,1.88070E+02,2.40345E-03,2.30499E+01,2.94568E-04,1.26398E+07,9.89514E-03
structural,LA CONCEPCION,4.11301E+03,4.14321E+02,1.66474E+01,2.73919E+00,1.27874E+00,1.56894E-01,3.44974E-05,1.96643E-01,6.13390E-06,3.39697E+01,1.05962E-03,3.68543E+00,1.14960E-04,5.95543E+06,5.88314E-03
structural,KENNEDY,7.80425E+03,7.85960E+02,3.53796E+01,6.20924E+00,3.19667E+00,3.72053E-01,4.30867E-05,5.29204E-01,7.64892E-06,9.29238E+01,1.34309E-03,1.08491E+01,1.56808E-04,1.20595E+07,6.89999E-03
structural,MARISCAL SUCRE,2.35636E+03,2.62024E+02,1.83474E+01,3.91969E+00,2.35153E+00,2.68009E-01,1.01404E-04,3.01589E-01,2.21244E-05,4.36695E+01,3.20358E-03,6.06728E+00,4.45092E-04,9.36696E+06,6.46981E-03
structural,IÑAQUITO,4.75317E+03,5.03114E+02,3.08310E+01,6.32260E+00,3.55804E+00,3.97438E-01,7.50308E-05,8.97797E-01,1.99179E-05,1.18367E+02,2.62602E-03,1.64247E+01,3.64387E-04,2.28378E+07,6.32688E-03
structural,LA MAGDALENA,3.25052E+03,3.71502E+02,1.92404E+01,3.66646E+00,2.07212E+00,2.35869E-01,6.46748E-05,2.46801E-01,8.70489E-06,4.56905E+01,1.61154E-03,5.71715E+00,2.01649E-04,5.79582E+06,7.41999E-03
structural,SAN ISIDRO,4.12245E+03,3.33180E+02,1.39333E+01,2.31892E+00,1.11541E+00,1.28495E-01,2.87268E-05,1.95303E-01,4.68433E-06,3.72085E+01,8.92445E-04,4.15400E+00,9.96335E-05,5.92999E+06,6.04797E-03
structural,GUAYLLABAMBA,1.63974E+03,1.51219E+02,9.51124E+00,2.08568E+00,1.44257E+00,1.59119E-01,8.82037E-05,1.28709E-01,9.38424E-06,2.52043E+01,1.83766E-03,3.57595E+00,2.60725E-04,2.31776E+06,7.15127E-03
structural,EL QUINCHE,6.98857E+02,3.71395E+01,2.82169E+00,6.75013E-01,5.07079E-01,5.29211E-02,7.15150E-05,7.75263E-02,6.38776E-06,2.12828E+01,1.75359E-03,3.06129E+00,2.52234E-04,6.86753E+05,5.23093E-03
structural,TABABELA,7.27445E+01,4.76674E+00,3.50510E-01,8.10078E-02,5.72074E-02,5.96526E-03,7.64777E-05,6.02699E-03,4.27355E-06,1.61960E+00,1.14841E-03,2.26478E-01,1.60588E-04,9.00162E+04,4.54492E-03
structural,YARUQUI,1.09170E+03,8.65378E+01,6.86513E+00,1.65974E+00,1.23298E+00,1.31614E-01,1.10786E-04,7.50756E-02,7.51552E-06,2.37680E+01,2.37932E-03,3.76478E+00,3.76878E-04,1.44287E+06,7.13509E-03
structural,PUEMBO,5.71841E+02,3.40066E+01,2.26020E+00,5.19988E-01,3.71747E-01,3.92934E-02,6.45211E-05,2.97101E-02,3.27893E-06,1.02263E+01,1.12862E-03,1.45685E+00,1.60784E-04,7.76465E+05,4.10304E-03
structural,CHECA,4.16247E+02,3.45881E+01,2.87997E+00,7.20781E-01,5.64404E-01,5.93662E-02,1.30475E-04,5.00518E-02,8.19527E-06,1.31927E+01,2.16012E-03,2.04017E+00,3.34049E-04,7.03412E+05,6.65351E-03
structural,PACTO,2.77785E+02,7.93117E+01,1.92481E+01,7.51464E+00,1.01402E+01,7.24811E-01,1.83962E-03,2.16945E-01,1.33169E-04,5.93482E+01,3.64300E-02,1.16654E+01,7.16064E-03,1.13428E+06,5.53862E-02
structural,GUALEA,5.12861E+01,1.19608E+01,2.62513E+00,9.55293E-01,1.17275E+00,9.73095E-02,1.43102E-03,2.36942E-02,6.84209E-05,8.07972E+00,2.33316E-02,1.54606E+00,4.46450E-03,1.42776E+05,3.56907E-02
structural,ATAHUALPA,2.42445E+02,1.92507E+01,1.58630E+00,3.99336E-01,3.19149E-01,3.29171E-02,1.24686E-04,1.16827E-02,9.33124E-06,5.69125E+00,4.54573E-03,9.99592E-01,7.98396E-04,3.05696E+05,9.62736E-03
