barrio,id_barrio,number,rc_usd,night,collapsed,fatalities,losses,str_lr,col_lr,occ_lr,hom_lr,inj_lr
Las Delicias,404.0,707.0,154304915,4184.0,0.03718239033,0.021720702901,212758,0.137881410754801,0.005259178264498,0.519137258628107,0.0,0.0
Industria de Licores,423.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Base Aérea,711.0,124.0,243580724,0.0,0.00525918445,0.0,336587,0.138182856200499,0.004241277782258,0.0,0.0,0.0
Versalles,208.0,326.0,439285034,1543.0,0.02943677337,0.009471155665,691293,0.1573678097146,0.009029685082822,0.613814365845755,0.0,0.0
Aguacatal,199.0,1995.0,282895391,17305.0,0.067205781762,0.0552976505342,203375,0.071890502025535,0.003368710865263,0.319547243768853,0.0,0.0
Granada,207.0,902.0,583652832,3923.0,0.07277665877,0.021805222166,825056,0.141360730279606,0.008068365717295,0.55583028717818,0.0,0.0
El Piloto,314.0,370.0,68347623,671.0,0.03675726115,0.005419876479,158420,0.23178522945377,0.009934394905405,0.807731218926975,0.0,0.0
Alfonso Lopez II,702.0,1110.0,113101045,7239.0,0.03213375546,0.021440128144,120120,0.106206228367602,0.002894932924324,0.296175274816964,0.0,0.0
Porvenir,403.0,890.0,182760091,2462.0,0.04830044696,0.011550007363,253438,0.13867226049274,0.00542701651236,0.469131087043054,0.0,0.0
San Marino,709.0,593.0,25911538,2339.0,0.02464120552,0.0084268419859,31629,0.122064297568672,0.004155346630691,0.360275416241984,0.0,0.0
La Esmeralda,416.0,505.0,94190831,2589.0,0.02463974301,0.013384622174,137233,0.145696515178871,0.004879157031683,0.516980385245268,0.0,0.0
Jorge Isaacs,401.0,671.0,179428880,1806.0,0.03890756468,0.010264492919,271258,0.151178671128302,0.00579844481073,0.568355089645626,0.0,0.0
San Nicolás,312.0,2286.0,907974053,3484.0,0.21957217764,0.035236581246,1893236,0.208512148080002,0.009605082136483,1.011382928989667,0.0,0.0
Los Pinos,708.0,484.0,38393754,2408.0,0.01493171101,0.00783713668,41762,0.108773810432711,0.003085064258264,0.325462486710963,0.0,0.0
Vista Hermosa,102.0,1436.0,63917532,11539.0,0.079826264708,0.050305727338,86398,0.135170613205961,0.00555893208273,0.435962625340151,0.0,0.0
Las Ceibas,710.0,1571.0,124136470,7717.0,0.06022429797,0.031132734017,143288,0.115428177795164,0.003833500825589,0.403430530218997,0.0,0.0
El Hoyo,313.0,246.0,91619886,458.0,0.02270003619,0.00391619458,194780,0.212595728788434,0.009227656987805,0.855064318777292,0.0,0.0
Juanambú,205.0,333.0,364252553,1652.0,0.008313098126,0.0020628777442,147761,0.040565474041596,0.002496425863664,0.124871534152542,0.0,0.0
Parque de la Caña,797.0,122.0,29936969,302.0,0.0051591725,0.001395225733,29781,0.099478181247421,0.004228829918033,0.461995275827815,0.0,0.0
Puerto Nuevo,704.0,440.0,9465803,1022.0,0.01380180001,0.0017471720586,9353,0.098807200128495,0.003136772729545,0.170956170117417,0.0,0.0
Industrial,809.0,907.0,398985088,2769.0,0.05444504226,0.018599115009,607005,0.152137309731137,0.006002760998897,0.671690682881907,0.0,0.0
Alfonso Lopez III,703.0,2247.0,226866214,12471.0,0.06542023715,0.0369282764359,240568,0.10603973908434,0.002911448026257,0.296113194097506,0.0,0.0
San Pedro,311.0,563.0,848769243,537.0,0.047134160572,0.004187136583,1015326,0.119623274598081,0.00837196457762,0.779727482867784,0.0,0.0
Normandia,204.0,246.0,429201105,2058.0,0.015648751923,0.00774739867,287507,0.066986550160901,0.006361281269512,0.37645280223518,0.0,0.0
Terron Colorado,101.0,3757.0,303736256,24301.0,0.137612533707,0.0892320358012,274383,0.090335996924314,0.003662830282326,0.367194912971483,0.0,0.0
Centenario,206.0,190.0,297304520,1695.0,0.008861946256,0.004355229153,213253,0.071728927448177,0.00466418224,0.256945672743363,0.0,0.0
Santa Rita,201.0,300.0,175640978,1271.0,0.021544376396,0.007178572638,215567,0.122731710825669,0.007181458798667,0.564797217781275,0.0,0.0
Santa Teresita,202.0,281.0,486839711,3167.0,0.022349188851,0.01458510865,422719,0.08682925482496,0.00795344798968,0.460533901168298,0.0,0.0
El Troncal,810.0,1945.0,364056514,9483.0,0.10445072526,0.054811034052,517148,0.142051582642796,0.005370217237018,0.577992555646947,0.0,0.0
La Merced,308.0,251.0,509225707,811.0,0.02272767274,0.005563193931,549424,0.107894035076922,0.009054849697211,0.685967192478422,0.0,0.0
Barrio Obrero,910.0,1573.0,200446139,3176.0,0.09308890662,0.017598725268,310369,0.154839297989987,0.005917921590591,0.55411603488665,0.0,0.0
Villa Colombia,815.0,1453.0,234666643,7286.0,0.0855986628,0.044250604781,340903,0.145271188706987,0.005891167432897,0.607337424938238,0.0,0.0
Urbanización La Nueva Base,818.0,1134.0,162360589,8673.0,0.04307338176,0.037748522733,185361,0.11416602200091,0.003798358179894,0.435241816361121,0.0,0.0
La Base,817.0,1420.0,155380618,7752.0,0.0869454034,0.052839679032,238474,0.153477526042415,0.006122915732394,0.681626406501548,0.0,0.0
Siete de Agosto,707.0,2001.0,190625674,11569.0,0.0650508413,0.0381110945786,212772,0.111617577339147,0.003250916606697,0.329424276762037,0.0,0.0
Arboledas,203.0,392.0,519890136,4521.0,0.030984847488,0.019104832121,468811,0.090175099395672,0.007904297828571,0.422579785910197,0.0,0.0
Sucre,909.0,1916.0,262417263,3220.0,0.19328527593,0.026989069858,585724,0.223203436976785,0.010087958033925,0.838169871366459,0.0,0.0
El Peñón,302.0,268.0,299584836,1585.0,0.023729441008,0.008992359753,310522,0.103650891043195,0.008854269032836,0.567341309337539,0.0,0.0
Urbanización El Angel del Hogar,706.0,667.0,72192939,3266.0,0.02304445861,0.00998363114,80470,0.111465298910841,0.00345494132084,0.305683745866503,0.0,0.0
El Calvario,310.0,413.0,159861333,995.0,0.04389493774,0.010037814762,328438,0.205451594107586,0.01062831422276,1.008825604221106,0.0,0.0
